//Here are the detailed results using a D4 V2 VM in North Europe.

//Summary
Scenario			Send Rate (msg/s)	Receive Rate (msg/s)
1MU_Queue			4401				4401
1MU_1Subscription	2223				2220
1MU_5Subscriptions	1348				2994
2MU_Queue			9070				9069
2MU_1Subscription	4499				4493
2MU_5Subscriptions	1676				8331
4MU_Queue			16782				16782
4MU_1Subscription	8960				8956
4MU_5Subscriptions	3844				19202

//1MU_Queue
Time	Send Rate (msg/s)	Send Latency (ms)	Send Count (msg)	Receive Rate (msg/s)	Receive Latency (ms)	Complete Latency (ms)	Receive Count (msg)	Server Busy Count	Other Exceptions
8:22:43 PM	3,893	252.36	116,800	3,893	347.75	151.97	116,800	0	0
8:23:13 PM	4,313	231.14	129,400	4,293	339.47	126.96	128,801	0	0
8:23:43 PM	4,460	222.37	133,800	4,473	316.15	128.56	134,200	0	0
8:24:13 PM	4,726	211.17	141,800	4,720	318.57	108.21	141,600	0	0
8:24:43 PM	4,240	233.36	127,200	4,240	346.39	122.65	127,200	0	0
8:25:13 PM	4,410	226.37	132,300	4,400	341.29	113.83	132,000	0	0
8:25:43 PM	4,443	224.8	133,300	4,456	333.39	118.93	133,700	0	0
8:26:13 PM	4,420	224.7	132,600	4,426	333.55	117.49	132,800	0	0
8:26:43 PM	4,096	243.1	122,900	4,100	347.1	140.91	123,000	0	0
8:27:13 PM	4,406	224.05	132,200	4,403	336.65	114.78	132,100	0	0
8:27:43 PM	4,300	232.82	129,000	4,303	343.91	123.53	129,100	0	0
8:28:13 PM	4,606	214.48	138,200	4,590	313.45	119.42	137,700	0	0
8:28:43 PM	4,333	231.19	130,000	4,350	330.77	131.81	130,500	0	0
8:29:14 PM	4,640	212.87	139,200	4,636	322.09	106.86	139,100	0	0
8:29:44 PM	4,570	219.22	137,100	4,573	316.7	123.97	137,200	0	0
8:30:14 PM	4,673	210.11	140,200	4,670	307.06	116.53	140,100	0	0
8:30:44 PM	4,476	224.29	134,300	4,456	347.72	103.96	133,700	0	0
8:31:14 PM	4,256	231.93	127,700	4,280	338.29	126.86	128,400	0	0
8:31:44 PM	4,186	234.4	125,600	4,186	344.79	126.09	125,600	0	0
8:32:14 PM	4,573	223.28	137,200	4,563	334.46	114.18	136,900	0	0
8:32:44 PM	4,390	223.9	131,700	4,393	336.82	115.1	131,800	0	0
SUMMARY	4,401	225.81	2,799,300	4,401	332.8	121.06	2,799,301	0	0

//1MU_1Subscription
Time	Send Rate (msg/s)	Send Latency (ms)	Send Count (msg)	Receive Rate (msg/s)	Receive Latency (ms)	Complete Latency (ms)	Receive Count (msg)	Server Busy Count	Other Exceptions
8:44:46 PM	2,300	441.15	66,700	2,203	579.07	312.55	63,900	0	0
8:45:16 PM	2,123	470.55	63,700	2,086	664.07	301.71	62,601	0	0
8:45:46 PM	1,740	570.12	52,200	1,786	697.03	410.95	53,600	0	0
8:46:16 PM	1,980	508.73	59,400	1,943	722.51	307.86	58,300	0	0
8:46:46 PM	2,166	456.2	65,000	2,173	596.04	310.18	65,200	0	0
8:47:16 PM	2,150	463.54	64,500	2,116	609.43	339.34	63,500	0	0
8:47:46 PM	2,280	441.89	68,400	2,353	595.79	269.9	70,600	0	0
8:48:16 PM	2,433	406.75	73,000	2,426	551.85	264.73	72,800	0	0
8:48:46 PM	2,530	397.2	75,900	2,490	601.71	210.33	74,700	0	0
8:49:16 PM	2,253	437.13	67,600	2,310	622.57	242.2	69,300	0	0
8:49:46 PM	2,260	444.87	67,800	2,240	625.95	275.18	67,200	0	0
8:50:16 PM	2,240	440.64	67,200	2,223	608.56	283.09	66,700	0	0
8:50:46 PM	2,303	437.01	69,100	2,313	615.14	253.72	69,400	0	0
8:51:16 PM	2,190	449.45	65,700	2,226	571.78	321.29	66,800	0	0
8:51:46 PM	2,360	426.69	70,800	2,343	592.48	265.74	70,300	0	0
8:52:16 PM	2,156	457.32	64,700	2,176	654.37	258.51	65,300	0	0
8:52:46 PM	2,176	461.89	65,300	2,096	685.74	274.34	62,900	0	0
8:53:16 PM	2,213	453.22	66,400	2,213	649.8	255.68	66,400	0	0
8:53:46 PM	2,350	418.12	70,500	2,386	606.89	224.08	71,600	0	0
8:54:16 PM	2,310	433.58	69,300	2,300	603.49	261.65	69,000	0	0
SUMMARY	2,223	447.73	1,349,900	2,220	620.5	278.22	1,347,801	0	0

//1MU_5Subscriptions
Time	Send Rate (msg/s)	Send Latency (ms)	Send Count (msg)	Receive Rate (msg/s)	Receive Latency (ms)	Complete Latency (ms)	Receive Count (msg)	Server Busy Count	Other Exceptions
9:00:32 PM	1,476	661.77	44,300	3,360	2125.05	485.8	100,800	0	0
9:01:02 PM	1,113	887.87	33,400	3,573	2191.07	579.58	107,203	0	0
9:01:32 PM	1,276	775.87	38,300	3,513	2113.54	721.09	105,402	0	0
9:02:02 PM	1,413	720.04	42,400	3,986	1961.2	594	119,600	0	0
9:02:32 PM	1,290	773.71	38,700	3,900	2057.51	528.96	117,000	0	0
9:03:02 PM	966	1025.73	29,000	3,300	2299.03	740.32	99,000	0	0
9:03:32 PM	996	991.5	29,900	3,163	2317.46	763.06	94,900	0	0
9:04:02 PM	1,250	797.75	37,500	3,836	2031.46	619.22	115,100	0	0
9:04:32 PM	1,330	754.7	39,900	4,100	1880.07	598.58	123,000	0	0
9:05:02 PM	1,203	826.99	36,100	3,750	2025.44	580.14	112,500	0	0
9:05:32 PM	1,203	820.18	36,100	3,450	2191.53	634.05	103,500	0	0
9:06:02 PM	1,043	961.26	31,300	3,433	2425.85	595.13	103,000	0	0
9:06:32 PM	1,196	822.16	35,900	3,616	2135.4	664.64	108,500	0	0
9:07:02 PM	1,043	964.81	31,300	2,700	2618.39	731.77	81,000	0	0
9:07:32 PM	1,190	771.12	35,700	3,450	2394.99	547.67	103,500	0	0
9:08:02 PM	1,603	621.52	48,100	1,800	5077.68	375.12	54,000	0	0
